"","gene_short_name","feature"
"AL035413.1","AL035413.1","NA"
"EMC1","EMC1","NA"
"MRTO4","MRTO4","NA"
"AKR7A3","AKR7A3","NA"
"AKR7A2","AKR7A2","NA"
"PQLC2","PQLC2","NA"
"CAPZB","CAPZB","NA"
"AL031727.2","AL031727.2","NA"
"MINOS1","MINOS1","NA"
"NBL1","NBL1","NA"
"MINOS1.NBL1","MINOS1-NBL1","NA"
"HTR6","HTR6","NA"
"TMCO4","TMCO4","NA"
"RNF186","RNF186","NA"
"AL391883.1","AL391883.1","NA"
"OTUD3","OTUD3","NA"
"PLA2G2E","PLA2G2E","NA"
"PLA2G2A","PLA2G2A","NA"
"PLA2G5","PLA2G5","NA"
"PLA2G2D","PLA2G2D","NA"
"PLA2G2F","PLA2G2F","NA"
"Z98257.1","Z98257.1","NA"
"PLA2G2C","PLA2G2C","NA"
"UBXN10.AS1","UBXN10-AS1","NA"
"UBXN10","UBXN10","NA"
"LINC01757","LINC01757","NA"
"Z98257.2","Z98257.2","NA"
"VWA5B1","VWA5B1","NA"
"AL020998.1","AL020998.1","NA"
"LINC01141","LINC01141","NA"
"AL139254.1","AL139254.1","NA"
"AL139254.2","AL139254.2","NA"
"AL139254.3","AL139254.3","NA"
"CAMK2N1","CAMK2N1","NA"
"MUL1","MUL1","NA"
"FAM43B","FAM43B","NA"
"CDA","CDA","NA"
"PINK1","PINK1","NA"
"PINK1.AS","PINK1-AS","NA"
"DDOST","DDOST","NA"
"KIF17","KIF17","NA"
"SH2D5","SH2D5","NA"
"AL663074.1","AL663074.1","NA"
"HP1BP3","HP1BP3","NA"
"EIF4G3","EIF4G3","NA"
"ECE1","ECE1","NA"
"AL031005.1","AL031005.1","NA"
"AL031728.1","AL031728.1","NA"
"AL592309.2","AL592309.2","NA"
"NBPF3","NBPF3","NA"
"ALPL","ALPL","NA"
"AL359815.1","AL359815.1","NA"
"RAP1GAP","RAP1GAP","NA"
"USP48","USP48","NA"
"LDLRAD2","LDLRAD2","NA"
"HSPG2","HSPG2","NA"
"CELA3B","CELA3B","NA"
"CELA3A","CELA3A","NA"
"LINC01635","LINC01635","NA"
"CDC42","CDC42","NA"
"AL031281.2","AL031281.2","NA"
"WNT4","WNT4","NA"
"ZBTB40","ZBTB40","NA"
"EPHA8","EPHA8","NA"
"C1QA","C1QA","NA"
"C1QC","C1QC","NA"
"C1QB","C1QB","NA"
"EPHB2","EPHB2","NA"
"AL512444.1","AL512444.1","NA"
"LACTBL1","LACTBL1","NA"
"TEX46","TEX46","NA"
"KDM1A","KDM1A","NA"
"AL031428.1","AL031428.1","NA"
"LUZP1","LUZP1","NA"
"HTR1D","HTR1D","NA"
"LINC01355","LINC01355","NA"
"AL109936.6","AL109936.6","NA"
"HNRNPR","HNRNPR","NA"
"ZNF436","ZNF436","NA"
"ZNF436.AS1","ZNF436-AS1","NA"
"AL109936.2","AL109936.2","NA"
"TCEA3","TCEA3","NA"
"ASAP3","ASAP3","NA"
"E2F2","E2F2","NA"
"AL021154.1","AL021154.1","NA"
"ID3","ID3","NA"
"MDS2","MDS2","NA"
"RPL11","RPL11","NA"
"ELOA","ELOA","NA"
"ELOA.AS1","ELOA-AS1","NA"
